Type,Branch,Amount,Old Balance Origin,New Balance Origin,Old Balance Destination,New Balance Destination,Receiver,Unusual Logins,Account Age,Account Type,Time of Day,isFraud
PAYMENT,Australia,936.44,18289.0,17352.56,866907.0,867843.44,Merchant,16,6.15832549,Savings,Afternoon,0
PAYMENT,Pakistan,760.21,1330599.59,1329839.38,985674.0,986434.21,Merchant,8,8.732974317,Savings,Afternoon,0
PAYMENT,Paises Bajos,8358.12,18170.0,9811.88,1345930.0,1354288.12,Merchant,16,6.777900933,Savings,Morning,0
CASH_OUT,Canada,227897.04,1722408.0,1494510.96,0.0,0.0,Self,9,4.061834778,Savings,Night,0
PAYMENT,Estados Unidos,68.09,28785.0,28716.91,1171407.0,1171475.09,Merchant,6,8.323808621,Current,Afternoon,0
CASH_OUT,Colombia,105165.25,278500.75,173335.5,0.0,0.0,Self,19,7.528246468,Savings,Afternoon,0
PAYMENT,Somalia,276.04,14607.0,14330.96,1443504.0,1443780.04,Merchant,6,8.483292585,Current,Morning,0
PAYMENT,Turquia,7452.89,102397.0,94944.11,194633.0,202085.89,Merchant,9,0.554709227,Current,Morning,0
PAYMENT,Estados Unidos,11493.55,99634.0,88140.45,302779.0,314272.55,Merchant,19,7.483737891,Savings,Night,0
CASH_IN,Alemania,8679.13,7087875.47,7096554.6,0.0,0.0,Self,6,3.571068875,Savings,Night,0
PAYMENT,Francia,9614.11,15172.0,5557.89,186257.0,195871.11,Merchant,15,2.715445003,Current,Afternoon,0
CASH_IN,Mexico,7159.95,1924605.13,1931765.08,0.0,0.0,Self,2,3.036901973,Savings,Morning,0
CASH_IN,Italia,208366.03,8271112.67,8479478.7,2980462.29,2798692.37,Self,17,6.342405278,Savings,Afternoon,1
PAYMENT,Colombia,3485.75,1396226.0,1392740.25,669863.0,673348.75,Merchant,16,8.395282075,Savings,Night,0
CASH_OUT,Australia,266192.8,803952.0,537759.2,0.0,0.0,Self,3,7.593494706,Savings,Night,0
