Transaction ID,Type,Branch,Amount,Name Origin,Old Balance Origin,New Balance Origin,Name Destination,Old Balance Destination,New Balance Destination,Unusual Logins,Account Age,isFlaggedFraud,Account Type,Date of Transaction,Time of Day,isFraud
TRX1144501074,PAYMENT,Australia,936.44,C1209972485,18289.0,17352.56,M719383448,866907.0,867843.44,16,6.15832549,0,Savings,07-01-2018,Afternoon,0
TRX4316322708,PAYMENT,Pakistan,760.21,C288919635,1330599.59,1329839.38,M1572442646,985674.0,986434.21,8,8.732974317,0,Savings,06-01-2018,Afternoon,0
TRX6712527036,PAYMENT,Paises Bajos,8358.12,C1542598424,18170.0,9811.88,M645875534,1345930.0,1354288.12,16,6.777900933,0,Savings,12-01-2018,Morning,0
TRX5508871317,CASH_OUT,Canada,227897.04,C97755704,1722408.0,1494510.96,C97755704,0.0,0.0,9,4.061834778,0,Savings,25-01-2018,Night,0
TRX6296354274,PAYMENT,Estados Unidos,68.09,C1265189536,28785.0,28716.91,M1684281752,1171407.0,1171475.09,6,8.323808621,0,Current,08-01-2018,Afternoon,0
TRX7058660143,CASH_OUT,Colombia,105165.25,C1393007334,278500.75,173335.5,C1393007334,0.0,0.0,19,7.528246468,0,Savings,19-01-2018,Afternoon,0
TRX9425732065,PAYMENT,Somalia,276.04,C673307146,14607.0,14330.96,M719355325,1443504.0,1443780.04,6,8.483292585,0,Current,13-01-2018,Morning,0
TRX7316510076,PAYMENT,Turquia,7452.89,C214649627,102397.0,94944.11,M67730604,194633.0,202085.89,9,0.554709227,0,Current,06-01-2018,Morning,0
TRX5985321560,PAYMENT,Estados Unidos,11493.55,C1749988512,99634.0,88140.45,M430231018,302779.0,314272.55,19,7.483737891,0,Savings,08-01-2018,Night,0
TRX1542828376,CASH_IN,Alemania,8679.13,C1123321137,7087875.47,7096554.6,C1123321137,0.0,0.0,6,3.571068875,0,Savings,13-01-2018,Night,0
TRX5325609212,PAYMENT,Francia,9614.11,C1233871134,15172.0,5557.89,M1843272693,186257.0,195871.11,15,2.715445003,0,Current,11-01-2018,Afternoon,0
TRX5900506992,CASH_IN,Mexico,7159.95,C1403032934,1924605.13,1931765.08,C1403032934,0.0,0.0,2,3.036901973,0,Savings,09-01-2018,Morning,0
TRX5619256950,CASH_IN,Italia,208366.03,C142941409,8271112.67,8479478.7,C142941409,2980462.29,2798692.37,17,6.342405278,0,Savings,06-01-2018,Afternoon,1
TRX9980140496,PAYMENT,Colombia,3485.75,C1023606628,1396226.0,1392740.25,M1863834886,669863.0,673348.75,16,8.395282075,0,Savings,11-01-2018,Night,0
TRX1094320539,CASH_OUT,Australia,266192.8,C418234073,803952.0,537759.2,C418234073,0.0,0.0,3,7.593494706,0,Savings,19-01-2018,Night,0
TRX5793836187,CASH_OUT,Nicaragua,25975.86,C1004271827,25975.86,10.0,C1004271827,98152.0,28041.27,0,0.7296954678,0,Savings,10-01-2018,Afternoon,1
TRX9031259398,PAYMENT,Espana,17757.06,C748807322,21802.0,4044.94,M451833108,1402307.0,1420064.06,17,7.357033222,0,Current,05-01-2018,Afternoon,0
