Transaction ID,Branch,Amount,Sender,Sender Old Balance,Sender New Balance,Receiver,Receiver Old Balance,Receiver New Balance,Transaction Count,Account Age,Last Transaction,Time of Transaction,isFraud
TRX9685747309,Fort Worth,6382.19,C1568949719,29458.84,23076.65,C1650299186,40246.02,46628.21,109,5.75,2.97,20:20:05,0
TRX5374085471,Austin,6064.7,C1406004470,70695.74,64631.04,C1868724762,51617.04,57681.74,6,7.75,1.1,07:38:27,0
TRX2764342505,Fort Worth,112501.19,C1807397140,128395.37,15894.18,C715093362,95301.35,207802.54,18,5.51,4.98,18:47:37,0
TRX7460262741,Nashville,2496.08,C919962315,55283.12,52787.04,C1875395688,89095.63,91591.71,7,5.35,1.5,00:29:40,0
TRX2331341351,San Francisco,12827.97,C88893820,91124.57,78296.6,C1266224518,44983.23,57811.2,12,7.09,2.61,17:05:16,0
TRX8870839754,Philadelphia,4262.198,C537265886,32575.26,30277.54,C939254952,99374.81,89902.29,36,6.21,3.55,16:33:21,1
TRX2794961237,Charlotte,6603.98,C1075996552,2241.91,47114.23,C1137401656,91760.46,8601.74,91,7.75,5.42,00:53:04,1
TRX7156455456,Dallas,18255.04,C1468374572,45806.28,27551.24,C1351275110,46763.91,65018.95,54,5.05,4.39,20:07:59,0
TRX1012227970,Phoenix,4986.23,C2097824680,184718.84,179732.61,C152349586,97529.32,102515.55,14,4.62,1.81,13:44:52,0
TRX1794002489,Philadelphia,299177.75,C1856093404,39148,49656.41,C1393284987,15196.72,34564.92,107,5.17,1.84,18:58:47,1
TRX4816583305,El Paso,151982.57,C1573125303,152776.76,794.19,C102564126,91653.46,243636.03,69,6.87,4.9,21:48:34,0
TRX9947354483,Phoenix,3690.54,C1843171329,17772.51,14081.97,C1987221006,27072.93,30763.47,52,7.59,0.13,04:53:27,0
TRX1918802678,Chicago,439.66,C1559469558,93765.24,93325.58,C940656203,15167.04,15606.7,65,8.67,0.34,02:57:38,0
TRX1802839501,Chicago,8071.86,C461371,63295.92,55224.06,C638204510,48436.88,56508.74,12,5.64,1.41,05:50:15,0
TRX9572970425,Austin,26539.83,C882471736,35425.83,8886,C1806545036,93508.74,120048.57,46,3.97,3.68,10:58:11,0
TRX1038274371,Columbus,592136.43,C1471145035,95355.03,53759.8,C1626529981,11824.35,24625.44,112,7.48,0.19,09:41:50,1
TRX4224389064,El Paso,3718.7,C731979931,98377.08,94658.38,C1237144823,27725.64,31444.34,38,2.89,2.01,19:09:51,0
TRX9287781498,Houston,111574.2,C237373286,156721.79,45147.59,C992023758,7193.01,118767.21,60,9.52,8.66,20:59:32,0
TRX5659395618,Jacksonville,191777.72,C588985851,716192.04,524414.32,C1306085976,16411.03,208188.75,58,12.72,7.01,17:06:17,0
TRX5688861267,Los Angeles,191.73,C758465579,25400.12,25208.39,C751608431,34831,35022.73,33,6.55,0.95,08:40:17,0
TRX2961257790,Philadelphia,4881.15,C1867037662,48433.49,43552.34,C1618043679,22018.16,26899.31,57,6.73,2.59,14:53:19,0
TRX8475230780,Jacksonville,2502.582,C1581066085,4433.37,77413.41,C1573349881,87823.61,24148.06,74,7,4.99,21:41:35,1
TRX9303759461,San Antonio,2973.89,C187723824,5927.83,2953.94,C1056094437,62809.93,65783.82,2,6.64,3.28,05:09:16,0
